subject,video_title,video_url,video_id,matched_topics,youtube_id
basic-geo,Nets Of Polyhedra,https://www.khanacademy.org/math/basic-geo/x7fa91416:3d-figures/x7fa91416:surface-area-with-nets/v/nets-of-polyhedra,ZACf9EecFrY,"euler’s formula for polyhedra, nets of solids, power of a point, properties of exponents",
basic-geo,Identifying Corresponding Parts Of Scaled Copies,https://www.khanacademy.org/math/basic-geo/x7fa91416:scale/x7fa91416:scale-copies/v/identifying-corresponding-parts-of-scaled-copies,o07enwTfSpU,"corresponding angle theorem, corresponding angles, corresponding angles postulate, corresponding parts of congruent triangles are congruent",
basic-geo,Introduction To Types Of Quadrilaterals,https://www.khanacademy.org/math/basic-geo/basic-geometry-shapes/x7fa91416:quadrilaterals-introduction/v/introduction-to-types-of-quadrilaterals,H-ykHosJW9c,"diagonals in quadrilaterals, properties of quadrilaterals",
basic-geo,Reflecting Points,https://www.khanacademy.org/math/basic-geo/basic-geo-transformations-congruence/basic-geo-reflections/v/reflecting-points,F77xiSlCehI,"law of reflection, line of reflection, points, reflection",
basic-geo,Axis Of Symmetry,https://www.khanacademy.org/math/basic-geo/basic-geometry-shapes/x7fa91416:lines-of-symmetry/v/axis-of-symmetry,LrTn4cvsewk,"geometry of conics, line symmetry, rotational symmetry, symmetry",
basic-geo,Proof Sum Of Measures Of Angles In A Triangle Are 180,https://www.khanacademy.org/math/basic-geo/x7fa91416:angle-relationships/x7fa91416:triangle-angles/v/proof-sum-of-measures-of-angles-in-a-triangle-are-180,6s1CI3uuhko,"30-60-90 triangle, acute triangle, altitude of a triangle, angles of depression, angles of elevation, flow proof, isosceles triangle, median of a triangle, naming angles, obtuse triangle, right triangle, scalene triangle, solving for missing sides and angles of a right triangle, triangle, triangle angle sum, triangle sum theorem",
basic-geo,Scale Drawings Example,https://www.khanacademy.org/math/basic-geo/x7fa91416:scale/x7fa91416:scale-drawings/v/scale-drawings-example,byjmR7JBXKc,,
basic-geo,Volume Of A Rectangular Prism With Fractional Dimensions,https://www.khanacademy.org/math/basic-geo/x7fa91416:3d-figures/x7fa91416:rectangular-prism-volume-with-fractions/v/volume-of-a-rectangular-prism-with-fractional-dimensions,EJTPGyWqhqc,"prism, volume, volume of cone, volume of cylinder, volume of prism, volume of pyramid, volume of sphere",
basic-geo,Constructing Right Isosceles,https://www.khanacademy.org/math/basic-geo/basic-geometry-pythagorean-theorem/x7fa91416:constructing-triangles/v/constructing-right-isosceles,lohMwoq3WFA,"golden ratio construction, isosceles, isosceles right triangle, isosceles trapezoid, isosceles triangle, right, right angle, right triangle, solving right triangles",
basic-geo,Rectangle Area As Product Of Dimensions Same As Counting Unit Squares,https://www.khanacademy.org/math/basic-geo/basic-geo-area-and-perimeter/x7fa91416:multiply-to-find-area/v/rectangle-area-as-product-of-dimensions-same-as-counting-unit-squares,DRg2VCo8lP0,"area, area of polygons, rectangle",
basic-geo,Metric System Unit Conversion Examples,https://www.khanacademy.org/math/basic-geo/x7fa91416:units-of-measurement/x7fa91416:conversion-word-problems-larger-to-smaller/v/metric-system-unit-conversion-examples,ODJzxGj_zvU,,
basic-geo,How We Measure Volume,https://www.khanacademy.org/math/basic-geo/basic-geo-volume-sa/x7fa91416:volume-with-unit-cubes/v/how-we-measure-volume,xMz9WFvox9g,"radian measure, volume, volume of cone, volume of sphere",
basic-geo,Coordinate Plane Word Problem Example,https://www.khanacademy.org/math/basic-geo/basic-geo-coord-plane/x7fa91416:coordinate-plane-word-problems/v/coordinate-plane-word-problem-example,_QKR8I5VE-w,"conic sections in the coordinate plane, coordinate proof, plane, proving triangles on the coordinate plane, transformations on the coordinate plane",
basic-geo,Decomposing Shapes To Find Area Grids Math 3Rd Grade Khan Academy,https://www.khanacademy.org/math/basic-geo/basic-geo-area-and-perimeter/x7fa91416:decompose-figures-to-find-area/v/decomposing-shapes-to-find-area-grids-math-3rd-grade-khan-academy,oL9iF9Se6lc,area,
